,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
833,female,group B,high school,standard,completed,77,82,89
487,female,group C,associate's degree,free/reduced,none,60,75,74
1,female,group C,some college,standard,completed,69,90,88
596,male,group B,high school,free/reduced,none,30,24,15
743,female,group C,associate's degree,standard,completed,59,73,72
987,male,group E,some high school,standard,completed,81,75,76
378,female,group A,some high school,standard,none,71,83,77
522,male,group D,bachelor's degree,standard,none,69,58,57
23,female,group C,some high school,standard,none,69,73,73
214,male,group E,high school,standard,completed,87,91,81
251,female,group D,some college,free/reduced,none,71,83,83
216,female,group E,associate's degree,free/reduced,completed,83,86,88
430,male,group C,associate's degree,free/reduced,none,64,66,59
629,female,group C,some high school,standard,completed,44,51,55
130,male,group D,master's degree,standard,none,89,84,82
242,female,group D,high school,standard,none,56,52,55
890,female,group E,some college,standard,completed,86,85,91
899,female,group D,some high school,standard,completed,65,78,82
421,female,group D,high school,standard,completed,57,58,64
360,female,group B,high school,standard,none,58,62,59
914,female,group B,associate's degree,free/reduced,none,46,61,55
891,female,group E,associate's degree,standard,none,85,92,85
229,female,group C,some college,standard,completed,88,95,94
726,female,group E,associate's degree,standard,completed,65,75,77
192,female,group B,some high school,standard,none,62,64,66
710,male,group C,some college,standard,completed,93,84,90
779,male,group E,associate's degree,standard,completed,94,85,82
550,male,group C,some high school,free/reduced,none,79,76,65
614,female,group A,associate's degree,standard,none,82,93,93
67,female,group C,some college,standard,none,60,72,74
744,male,group B,some college,free/reduced,none,55,55,47
508,male,group C,master's degree,standard,none,79,78,77
418,male,group D,some college,standard,none,68,59,62
623,male,group A,some college,standard,completed,100,96,86
392,male,group E,some college,standard,none,76,67,67
628,male,group D,some college,free/reduced,none,49,57,46
595,female,group C,bachelor's degree,standard,completed,56,79,72
948,male,group B,some high school,free/reduced,completed,49,50,52
761,female,group D,some high school,standard,none,48,58,54
2,female,group B,master's degree,standard,none,90,95,93
336,male,group D,some high school,standard,completed,76,70,69
152,female,group B,associate's degree,standard,completed,59,70,66
700,female,group E,bachelor's degree,standard,completed,79,81,82
8,male,group D,high school,free/reduced,completed,64,64,67
100,male,group B,some college,standard,none,79,67,67
52,male,group C,some college,standard,none,53,44,42
865,male,group D,some college,standard,completed,82,82,88
759,male,group B,some college,standard,completed,69,77,77
804,female,group C,some college,standard,none,73,76,78
571,male,group A,bachelor's degree,standard,none,91,96,92
472,female,group C,associate's degree,standard,completed,68,86,84
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72
497,female,group D,some college,free/reduced,completed,59,78,76
299,male,group D,associate's degree,free/reduced,none,90,87,75
293,female,group E,bachelor's degree,standard,none,65,73,75
464,male,group A,bachelor's degree,standard,completed,75,58,62
324,female,group C,high school,free/reduced,none,41,46,43
689,male,group E,some college,free/reduced,none,93,90,83
808,male,group C,high school,standard,none,90,75,69
812,female,group C,master's degree,standard,completed,54,64,67
428,male,group A,some high school,free/reduced,none,65,59,53
603,male,group D,high school,free/reduced,none,60,57,51
725,male,group E,some college,standard,completed,81,74,71
63,female,group C,associate's degree,standard,none,69,80,71
626,male,group B,associate's degree,free/reduced,completed,69,70,63
612,male,group C,bachelor's degree,standard,completed,94,90,91
811,male,group A,high school,free/reduced,none,45,47,49
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
573,female,group C,high school,free/reduced,completed,50,66,64
257,male,group C,associate's degree,standard,completed,78,77,77
377,female,group D,master's degree,free/reduced,completed,85,95,100
970,female,group D,bachelor's degree,standard,none,89,100,100
745,male,group D,associate's degree,standard,none,72,79,74
93,male,group C,associate's degree,free/reduced,completed,43,45,50
9,female,group B,high school,free/reduced,none,38,60,50
