iter	RMSE
0	14.65628925
1	14.17154926
2	13.70301477
3	13.2458771
4	12.81689076
5	12.47211364
6	12.11195546
7	11.78511185
8	11.47907672
9	11.14809559
10	10.84588854
11	10.5758123
12	10.33519932
13	10.10622203
14	9.836216074
15	9.582083721
16	9.347460324
17	9.143128077
18	8.919879584
19	8.720643989
20	8.550106637
21	8.396919246
22	8.222678586
23	8.061835908
24	7.927405489
25	7.781165245
26	7.649778615
27	7.530546094
28	7.415868241
29	7.307735403
30	7.219612665
31	7.099768696
32	7.005185881
33	6.916274052
34	6.820754935
35	6.73702524
36	6.650811428
37	6.590268071
38	6.516830063
39	6.454251093
40	6.39027081
41	6.345315055
42	6.286286759
43	6.238200542
44	6.190124277
45	6.145855491
46	6.091529133
47	6.054889832
48	6.014906147
49	5.96711668
50	5.929368288
51	5.892455745
52	5.859912625
53	5.822829024
54	5.793955761
55	5.761209204
56	5.73320082
57	5.706460247
58	5.68477838
59	5.658776184
60	5.631739209
61	5.608199308
62	5.58635608
63	5.56417758
64	5.545690241
65	5.527118506
66	5.509572686
67	5.490610838
68	5.475865532
69	5.459737036
70	5.444881616
71	5.426187984
72	5.413055719
73	5.396670314
74	5.380548405
75	5.364515222
76	5.354105861
77	5.338132528
78	5.327290428
79	5.311996994
80	5.302090008
81	5.294515263
82	5.282466922
83	5.272838998
84	5.266100026
85	5.256488328
86	5.24766096
87	5.24041521
88	5.233781998
89	5.226230705
90	5.216691268
91	5.208930765
92	5.202574519
93	5.19592073
94	5.191934259
95	5.17913742
96	5.170907801
97	5.165667023
98	5.153112323
99	5.138947325
100	5.132916999
101	5.121492381
102	5.113929833
103	5.104376011
104	5.098564878
105	5.09177039
106	5.081780481
107	5.072455078
108	5.064634755
109	5.060226588
110	5.055771796
111	5.051802252
112	5.046388343
113	5.041642555
114	5.032889584
115	5.025988439
116	5.021683854
117	5.018861555
118	5.013399082
119	5.006954188
120	4.999876685
121	4.995609951
122	4.992187223
123	4.986705608
124	4.982241517
125	4.978345615
126	4.972191312
127	4.965252071
128	4.958515877
129	4.952792285
130	4.947587405
131	4.943276322
132	4.939975707
133	4.934869091
134	4.928533802
135	4.92603936
136	4.91866363
137	4.909199182
138	4.899299082
139	4.891176985
140	4.884655397
141	4.877930336
142	4.872685474
143	4.868072003
144	4.861174503
145	4.855627904
146	4.853459774
147	4.847247363
148	4.840390666
149	4.83815546
150	4.836609185
151	4.834381601
152	4.82978035
153	4.825484705
154	4.821251024
155	4.815667155
156	4.810742062
157	4.805700667
158	4.802969787
159	4.800574776
160	4.798469154
161	4.793059104
162	4.789462186
163	4.786941412
164	4.783569763
165	4.780156531
166	4.773826908
167	4.764625083
168	4.758271926
169	4.752560974
170	4.74818579
171	4.742867648
172	4.73946056
173	4.735985673
174	4.728812827
175	4.725826287
176	4.71971235
177	4.714014586
178	4.708769696
179	4.704953457
180	4.698480298
181	4.694299275
182	4.692175628
183	4.686444484
184	4.681145041
185	4.674352864
186	4.672926315
187	4.668027645
188	4.661674317
189	4.654636554
190	4.654127326
191	4.647709401
192	4.642273925
193	4.6405334
194	4.634263875
195	4.631040557
196	4.629534193
197	4.624401025
198	4.620754915
199	4.616326411
200	4.61142013
201	4.606944276
202	4.603361041
203	4.599599349
204	4.594769758
205	4.586242678
206	4.582699178
207	4.577061391
208	4.574574546
209	4.568891291
210	4.566208268
211	4.562709393
212	4.558701546
213	4.552482431
214	4.547970402
215	4.545311817
216	4.541637853
217	4.536675873
218	4.533561391
219	4.525631558
220	4.519329737
221	4.513331608
222	4.50582861
223	4.49907527
224	4.494054158
225	4.491657328
226	4.48870234
227	4.485201175
228	4.483615184
229	4.476367863
230	4.472174622
231	4.46813649
232	4.46562327
233	4.463750072
234	4.458121477
235	4.451841985
236	4.444300895
237	4.438634122
238	4.436355432
239	4.434406879
240	4.425444392
241	4.41758854
242	4.408926689
243	4.405794149
244	4.404124014
245	4.399030937
246	4.395646993
247	4.391807827
248	4.385069377
249	4.380526571
250	4.376042476
251	4.370716279
252	4.365838096
253	4.364315269
254	4.36291291
255	4.355489106
256	4.353833322
257	4.349597899
258	4.341452854
259	4.334046113
260	4.329980242
261	4.324029893
262	4.320613152
263	4.315396755
264	4.308975849
265	4.303871243
266	4.302897914
267	4.295268997
268	4.289956555
269	4.286922328
270	4.284508628
271	4.281658512
272	4.275783411
273	4.272535795
274	4.26872547
275	4.2640642
276	4.262155609
277	4.259104514
278	4.25412554
279	4.248740011
280	4.247049396
281	4.240222204
282	4.236150467
283	4.231174113
284	4.22890077
285	4.22401496
286	4.219024011
287	4.212071368
288	4.21088158
289	4.210216418
290	4.20541655
291	4.201637982
292	4.199470266
293	4.195172874
294	4.192521118
295	4.187007887
296	4.183403783
297	4.177783215
298	4.176179128
299	4.172518226
