iter	Passed	Remaining
0	138	138661
1	140	69955
2	142	47508
3	144	36072
4	146	29165
5	148	24537
6	149	21244
7	151	18812
8	153	16932
9	155	15411
10	157	14132
11	158	13040
12	160	12165
13	161	11408
14	163	10748
15	164	10122
16	165	9562
17	166	9091
18	167	8663
19	168	8269
20	169	7911
21	170	7570
22	171	7263
23	171	6980
24	172	6736
25	173	6509
26	174	6288
27	175	6092
28	176	5901
29	177	5723
30	177	5562
31	179	5419
32	180	5279
33	181	5146
34	181	5014
35	182	4889
36	183	4768
37	183	4656
38	184	4552
39	185	4453
40	186	4356
41	186	4262
42	187	4174
43	188	4089
44	188	4006
45	189	3925
46	189	3849
47	190	3775
48	191	3708
49	191	3644
50	192	3579
51	193	3518
52	193	3457
53	194	3400
54	194	3345
55	195	3293
56	195	3240
57	196	3190
58	197	3144
59	197	3100
60	198	3055
61	199	3011
62	199	2968
63	200	2928
64	200	2888
65	201	2850
66	202	2813
67	202	2777
68	203	2740
69	203	2708
70	204	2676
71	205	2644
72	205	2612
73	206	2582
74	206	2552
75	207	2523
76	208	2493
77	208	2466
78	209	2438
79	209	2412
80	210	2388
81	211	2363
82	211	2340
83	212	2316
84	212	2291
85	213	2268
86	214	2246
87	214	2223
88	215	2201
89	215	2181
90	216	2161
91	216	2141
92	217	2122
93	218	2103
94	218	2085
95	219	2066
96	220	2048
97	220	2029
98	221	2011
99	221	1994
100	222	1978
101	222	1962
102	223	1946
103	224	1931
104	224	1916
105	225	1901
106	225	1886
107	226	1871
108	227	1856
109	227	1842
110	228	1828
111	229	1815
112	229	1802
113	230	1790
114	231	1777
115	231	1764
116	232	1752
117	232	1739
118	233	1727
119	233	1714
120	234	1702
121	235	1691
122	235	1680
123	236	1669
124	236	1658
125	237	1646
126	237	1635
127	238	1624
128	239	1614
129	239	1603
130	240	1593
131	240	1584
132	241	1575
133	242	1565
134	242	1556
135	243	1546
136	244	1537
137	244	1527
138	245	1518
139	245	1509
140	246	1500
141	246	1492
142	247	1484
143	248	1475
144	248	1467
145	249	1459
146	250	1451
147	250	1442
148	251	1435
149	251	1427
150	252	1419
151	253	1411
152	253	1404
153	254	1396
154	254	1389
155	255	1382
156	256	1375
157	256	1367
158	257	1360
159	257	1353
160	258	1346
161	258	1339
162	259	1333
163	260	1327
164	261	1320
165	261	1314
166	262	1308
167	262	1301
168	263	1295
169	263	1288
170	264	1282
171	265	1276
172	265	1270
173	266	1265
174	267	1260
175	267	1254
176	268	1249
177	269	1243
178	269	1237
179	270	1231
180	270	1226
181	271	1220
182	272	1216
183	273	1211
184	273	1206
185	274	1200
186	274	1195
187	275	1190
188	276	1184
189	276	1179
190	277	1174
191	277	1168
192	278	1164
193	279	1159
194	279	1154
195	280	1150
196	281	1145
197	281	1140
198	282	1135
199	282	1130
200	283	1125
201	283	1120
202	284	1116
203	285	1112
204	285	1108
205	286	1103
206	287	1099
207	287	1095
208	288	1090
209	288	1086
210	289	1082
211	289	1077
212	290	1073
213	291	1070
214	292	1066
215	292	1062
216	293	1058
217	293	1054
218	294	1050
219	294	1045
220	295	1041
221	296	1037
222	296	1033
223	297	1030
224	297	1026
225	298	1022
226	299	1018
227	299	1015
228	300	1011
229	300	1007
230	301	1003
231	301	999
232	302	995
233	303	992
234	303	989
235	304	986
236	305	982
237	305	978
238	306	975
239	306	971
240	307	968
241	308	965
242	308	962
243	309	959
244	310	957
245	311	954
246	312	951
247	312	948
248	313	945
249	314	942
250	314	938
251	315	935
252	315	932
253	316	929
254	316	925
255	317	922
256	318	919
257	318	916
258	319	913
259	319	910
260	320	906
261	320	904
262	321	901
263	322	898
264	322	895
265	323	892
266	324	889
267	324	886
268	325	883
269	325	880
270	326	877
