iter	Passed	Remaining
0	1	1119
1	2	1068
2	2	986
3	3	927
4	4	921
5	5	980
6	6	978
7	7	964
8	8	964
9	9	975
10	10	960
11	11	980
12	12	977
13	13	969
14	14	958
15	15	946
16	16	932
17	16	924
18	18	946
19	19	943
20	20	941
21	27	1201
22	28	1194
23	29	1203
24	31	1228
25	34	1289
26	36	1308
27	37	1313
28	38	1303
29	40	1296
30	41	1287
31	42	1286
32	43	1278
33	44	1266
34	45	1261
35	46	1255
36	48	1260
37	49	1253
38	50	1243
39	51	1239
40	53	1240
41	53	1230
42	54	1219
43	55	1208
44	56	1197
45	57	1185
46	58	1183
47	59	1177
48	60	1167
49	61	1159
50	61	1152
51	62	1142
52	63	1136
53	65	1139
54	66	1134
55	67	1129
56	67	1123
57	68	1115
58	69	1105
59	70	1097
60	71	1098
61	72	1093
62	73	1087
63	74	1082
64	74	1078
65	75	1073
66	77	1075
67	78	1070
68	78	1065
69	79	1059
70	80	1053
71	81	1046
72	81	1039
73	82	1037
74	83	1035
75	84	1030
76	85	1026
77	86	1021
78	87	1018
79	88	1013
80	89	1017
81	90	1014
82	91	1011
83	92	1006
84	93	1001
85	93	996
86	94	990
87	95	991
88	96	989
89	97	985
90	98	982
91	99	977
92	99	973
93	100	968
94	101	970
95	102	968
96	103	964
97	104	961
98	105	958
99	105	953
100	106	949
101	107	950
102	108	949
103	109	946
104	110	943
105	111	939
106	112	935
107	112	932
108	114	933
109	115	931
110	116	929
111	116	926
112	117	924
113	118	920
114	119	916
115	120	917
116	121	916
117	122	912
118	122	910
119	123	906
120	124	903
121	125	899
122	126	900
123	127	899
124	128	898
125	129	896
126	129	893
127	130	891
128	131	889
129	132	889
130	133	887
131	134	886
132	135	883
133	136	880
134	136	877
135	137	874
136	138	871
137	139	870
138	140	868
139	141	866
140	141	864
141	142	863
142	143	862
143	145	863
144	146	862
145	147	860
146	148	858
147	148	856
148	149	853
149	150	851
150	151	851
151	152	849
152	153	847
153	153	845
154	154	843
155	155	841
156	157	844
157	158	843
158	159	841
159	160	840
160	160	838
161	161	836
162	162	835
163	163	833
164	164	832
165	165	831
166	166	829
167	167	827
168	168	826
169	169	826
170	170	825
171	171	826
172	172	825
173	173	824
174	174	822
175	175	821
176	176	820
177	177	818
178	178	816
179	178	815
180	179	812
181	180	811
182	181	810
183	182	808
184	183	808
185	184	806
186	185	806
187	186	804
188	187	804
189	188	802
190	189	801
191	190	800
192	191	798
193	192	797
194	192	796
195	193	795
196	194	794
197	195	793
198	196	792
199	201	804
200	202	803
201	203	802
202	203	800
203	205	800
204	206	800
205	207	799
206	208	799
207	210	799
208	211	801
209	213	801
210	213	800
211	214	798
212	215	797
213	216	795
214	218	796
215	219	795
216	220	794
217	220	792
218	221	790
219	222	789
220	223	786
221	224	786
222	225	785
223	226	784
224	227	783
225	228	781
226	228	779
227	229	778
228	231	778
229	232	776
230	232	775
231	233	774
232	234	772
233	235	770
234	236	770
235	237	768
236	238	768
237	239	767
238	240	766
239	241	764
240	242	764
241	243	763
242	244	762
243	245	761
244	246	759
245	248	760
246	249	759
247	250	758
248	251	757
249	252	756
250	252	754
251	253	752
252	254	751
253	255	751
254	256	750
255	257	748
256	258	747
257	259	745
258	260	744
259	261	743
260	262	743
261	263	742
262	264	741
263	265	739
264	266	738
265	267	737
266	268	736
267	269	735
268	270	736
269	271	734
270	272	733
271	273	732
272	274	730
273	275	729
274	276	728
275	277	727
276	278	726
277	279	725
278	280	724
279	281	724
280	282	723
281	283	722
282	284	721
283	286	721
284	287	720
285	288	719
286	288	717
287	289	716
288	290	714
289	291	713
290	292	712
291	293	711
292	294	710
293	295	708
294	295	707
295	296	706
296	298	705
297	299	705
298	300	704
299	301	703
300	302	701
301	303	700
302	304	700
303	305	699
304	306	697
305	306	696
306	307	694
307	308	693
308	309	692
309	310	691
310	311	690
311	312	689
312	313	687
313	314	686
314	315	685
315	316	684
316	317	683
317	318	682
318	318	680
319	319	679
320	320	678
321	321	677
322	322	676
323	323	674
324	324	673
325	325	672
326	326	671
327	326	669
328	328	669
329	329	668
330	330	667
331	331	666
332	332	665
333	333	664
334	334	664
335	335	663
336	336	661
337	337	660
338	338	659
339	338	657
340	339	656
341	340	655
342	341	654
343	342	653
344	343	652
345	344	651
346	345	649
347	346	649
348	347	648
349	348	647
350	349	646
351	350	645
352	351	644
353	352	643
354	353	642
355	354	641
356	355	640
357	356	639
358	357	638
359	358	637
360	359	636
361	360	635
362	361	635
363	362	634
364	364	633
365	365	632
366	366	631
367	366	630
368	367	629
369	368	627
370	369	626
371	370	625
372	371	624
373	372	624
374	374	623
375	375	622
376	376	622
377	378	622
378	379	621
379	380	620
380	381	619
381	382	618
382	383	617
383	383	615
384	384	614
385	385	613
386	386	612
387	387	610
388	388	610
389	389	608
390	390	607
391	391	606
392	392	606
393	393	605
394	394	604
395	395	603
396	396	602
397	397	601
398	398	600
399	399	598
400	400	597
401	401	597
402	402	595
403	402	594
404	403	593
405	404	592
406	405	590
407	406	590
408	407	589
409	408	588
410	409	587
411	410	586
412	411	584
413	412	583
414	413	582
415	414	581
416	415	580
417	416	579
418	417	578
419	418	577
420	419	577
421	420	576
422	421	575
423	422	574
424	423	573
425	424	572
426	425	571
427	426	570
428	427	569
429	428	568
430	429	567
431	430	566
432	431	565
433	433	564
434	434	563
435	435	562
436	435	561
437	436	560
438	437	559
439	438	558
440	439	557
441	440	556
442	441	555
443	442	553
444	443	553
445	444	552
446	446	551
447	447	550
448	447	549
449	448	548
450	449	547
451	450	546
452	451	545
453	452	543
454	453	542
455	453	541
456	454	540
457	456	539
458	457	538
459	458	537
460	459	536
461	459	535
462	460	534
463	461	533
464	462	532
465	464	531
466	465	530
467	466	529
468	466	528
469	468	527
470	469	526
471	470	525
472	471	525
473	472	523
474	473	523
475	474	522
476	475	521
477	476	520
478	477	519
479	478	517
480	479	517
481	480	516
482	481	515
483	482	514
484	483	513
485	483	511
486	484	510
487	486	509
488	487	509
489	488	508
490	489	507
491	490	506
492	491	505
493	492	504
494	493	503
495	494	502
496	495	501
497	496	500
498	497	499
499	498	498
500	499	497
501	500	496
502	501	495
503	503	495
504	505	495
505	506	494
506	507	493
507	508	492
508	509	491
509	510	490
510	511	489
511	512	488
512	512	486
513	514	486
514	515	485
515	516	484
516	517	483
517	518	482
518	520	482
519	521	481
520	522	480
521	523	479
522	524	478
523	525	477
524	526	476
